ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL1200789,TRICLOFOS SODIUM,SCH 10159|SCH-10159|TRICHLOROETHYL PHOSPHATE SODIUM|TRICLOFOS MONOSODIUM SALT|TRICLOFOS SODIUM|TRICLORYL|Triclos,Small molecule,4,251.37,,,1.47,66.76,2,2,0,2,N,0.56,1.17,None,0.93,-2.65,0,MOL,0,10,4,2,0,227.8913,0.78,ACID,C2H3Cl3NaO4P,O=P([O-])(O)OCC(Cl)(Cl)Cl.[Na+],WFKJEZKHPGDCRK-UHFFFAOYSA-M
CHEMBL3989824,THIOTHIXENE HYDROCHLORIDE,CP-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1237123,DOXACURIUM,DOXACURIUM CATION|DOXACURIUM ION,Small molecule,4,1035.24,3,19,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,1034.534,None,None,C56H78N2O16+2,COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,GBLRQXKSCRCLBZ-UHFFFAOYSA-N
CHEMBL1200835,TECHNETIUM TC 99M ETIDRONATE,CINTICHEM TECHNETIUM 99M HEDSPA|MPI STANNOUS DIPHOSPHONATE|OSTEOSCAN|TECHNETIUM TC 99M DIPHOSPHONATE-TIN KIT|TECHNETIUM TC 99M ETIDRONATE|TECHNETIUM TC-99M ETIDRONATE|TECHNETIUM TC-99M ETIDRONATE KIT|Technetium tc-99m etidronate kit,Small molecule,4,304.93,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,302.8809,None,None,C2H8O7P2Tc,,
CHEMBL1446650,MEBEVERINE HYDROCHLORIDE,COLOFAC|COLOFAC 100|COLOFAC IBS|COLOFAC MR|CSAG-144|FOMAC|MEBEVERINE HCL|MEBEVERINE HYDROCHLORIDE|NSC-169101,Small molecule,4,466.02,15,44,4.6,57.23,6,0,0,13,N,0.34,None,10.31,4.89,2.08,2,MOL,0,31,6,0,0,429.2515,-0.6,BASE,C25H36ClNO5,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1.Cl,PLGQWYOULXPJRE-UHFFFAOYSA-N
CHEMBL1200366,CEPHALEXIN HYDROCHLORIDE,CEFALEXIN HYDROCHLORIDE|CEPHALEXIN HCL|CEPHALEXIN HYDROCHLORIDE|Keftab|LY-061188|LY061188,Small molecule,4,401.87,,,0.44,112.73,5,3,0,4,N,0.68,3.26,7.23,-2.14,-2.5,1,MOL,0,24,7,4,0,347.094,0.27,ACID,C16H20ClN3O5S,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1.Cl.O,YHJDZIQOCSDIQU-OEDJVVDHSA-N
CHEMBL2104136,CLOMACRAN PHOSPHATE,CLOMACRAN PHOSPHATE|Devryl|Olaxin|SK&F 14336|SKF-14336,Small molecule,4,398.83,,,4.87,15.27,2,1,0,4,N,0.87,None,9.79,4.58,2.23,2,MOL,0,21,2,1,0,300.1393,-0.59,BASE,C18H24ClN2O4P,CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21.O=P(O)(O)O,SKKDWRIEPIZVOR-UHFFFAOYSA-N
CHEMBL1201779,BENZYLPENICILLOYL POLYLYSINE,BENZYL PENICILLOYL-POLYLYSINE|BENZYLPENICILLOYL OCTA-L-LYSINE|BENZYLPENICILLOYL POLYLYSINE|BENZYLPENICILLOYL-POLYLYSINE|Benzylpenicilloyl polylysine|CILLIGEN|PENICILLOYL POLYLYSINE|Pre-Pen|TESTARPEN,Small molecule,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,,,
CHEMBL1200387,AMPHETAMINE ADIPATE,AMPHETAMINE ADIPATE|Amphetamine adipate,Small molecule,4,281.35,,,1.58,26.02,1,1,0,2,Y,0.65,None,10.01,1.8,-0.67,1,MOL,0,10,1,2,0,135.1048,-0.02,BASE,C15H23NO4,CC(N)Cc1ccccc1.O=C(O)CCCCC(=O)O,OFCJKOOVFDGTLY-UHFFFAOYSA-N
CHEMBL3989556,REMOXIPRIDE HYDROCHLORIDE,(-)-FLA-731|A 33547.HCL.H20|FLA 731(-)|FLA-731|REMOXIPRIDE HCL|REMOXIPRIDE HYDROCHLORIDE|ROXIAM|ROXIAM IR,Small molecule,4,425.75,2,4,2.68,50.8,4,1,0,6,N,0.84,13.06,8.4,2.34,1.3,1,MOL,0,22,5,1,0,370.0892,-0.68,NEUTRAL,C16H26BrClN2O4,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC.Cl.O,SPFVHFBNXPARTR-IDMXKUIJSA-N
CHEMBL2110559,TECHNETIUM PYROPHOSPHATE,,Small molecule,4,275.97,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,1,None,None,None,None,274.8496,None,None,H4O7P2Tc,,
CHEMBL1200321,SULFISOXAZOLE DIOLAMINE,Gantrisin|NU-445|SULFAFURAZOLE DIETHANOLAMINE|SULFAFURAZOLE DIOLAMINE|SULFISOXAZOLE DIETHANOLAMINE SALT|SULFISOXAZOLE DIOLAMINE|SULPHAFURAZOLE DIOLAMINE,Small molecule,4,372.45,,,1.67,98.22,5,2,0,3,N,0.82,5.8,2.17,0.73,-0.14,2,MOL,0,18,6,3,0,267.0678,-1.82,ACID,C15H24N4O5S,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C.OCCNCCO,FEPTXVIRMZIGFY-UHFFFAOYSA-N
CHEMBL3547132,FLUORODOPA,,Small molecule,4,215.18,,,0.19,103.78,4,4,0,3,N,0.54,1.32,9.4,-1.65,-1.69,1,MOL,0,15,5,5,0,215.0594,0.48,ZWITTERION,C9H10FNO4,N[C@@H](Cc1cc(O)c(O)cc1F)C(=O)O,PAXWQORCRCBOCU-LURJTMIESA-N
CHEMBL1590946,CEFSULODIN SODIUM,ABBOTT-46811|CEFSULODIN SODIUM|CEFSULODIN SODIUM SALT|CGP-71741E|Cefomonil|MONASPOR|NSC-758163|TAKESULIN,Small molecule,4,554.54,21,30,-1.89,190.88,8,3,1,8,N,0.2,-1.37,None,-5.83,-7.46,2,MOL,0,36,12,4,2,532.0723,-0.12,ACID,C22H19N4NaO8S2,NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)[O-])[C@H]3SC2)cc1.[Na+],REACMANCWHKJSM-DWBVFMGKSA-M
CHEMBL1295,BUTOCONAZOLE,BUTOCONAZOLE|Butoconazole|GYNOFORT|Gynazole-1|NSC-758658,Small molecule,4,411.79,8,44,6.64,17.82,3,0,1,7,N,0.41,None,6.51,6.55,6.51,3,MOL,0,25,2,0,1,410.0178,-1.15,NEUTRAL,C19H17Cl3N2S,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,SWLMUYACZKCSHZ-UHFFFAOYSA-N
CHEMBL1201503,FERUMOXSIL,AMI-121|FERUMOXSIL|Ferumoxsil|Gastromark,Unknown,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,,,
CHEMBL4594240,TECHNETIUM SESTAMIBI,TECHNETIUM SESTAMIBI,Small molecule,4,783.01,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,787.5014,None,None,C36H72N6O6Tc,,
CHEMBL2108290,EPOETIN THETA,EPOETIN THETA|EPORATIO,Protein,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,,,
CHEMBL544,MEQUINOL,4-HYDROXYANISOLE|4-METHOXYPHENOL|4HA|BMS-181158|HQMME; HYDROXYQUINONE METHYL ETHER|LEUCOBASAL|LEUCODINE B|MECHINOLUM|MENTHYL ANTHRANILATE|MEQUINOL|NOVO-DERMOQUINONA|NSC-4960|P-GUAIACOL|P-HYDROXYANISOLE,Small molecule,4,124.14,72,114,1.4,29.46,2,1,0,1,Y,0.61,9.94,None,1.51,1.51,1,MOL,0,9,2,1,0,124.0524,0.37,NEUTRAL,C7H8O2,COc1ccc(O)cc1,NWVVVBRKAWDGAB-UHFFFAOYSA-N
CHEMBL1200599,DIFENOXIN HYDROCHLORIDE,DIFENOXIN HCL|DIFENOXIN HYDROCHLORIDE|DIFENOXINE HYDROCHLORIDE|R 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3181957,ALMITRINE MESYLATE,ALMITRINE BISMESILATE|ALMITRINE BISMESYLATE|ALMITRINE DIMESILATE|ALMITRINE DIMESYLATE|ALMITRINE DIMETHANESULFONATE|ALMITRINE MESILATE|ALMITRINE MESYLATE|S-2620|Vectarion,Small molecule,4,669.78,5,13,4.26,69.21,7,2,0,10,N,0.42,None,8.47,6.05,4.97,3,MOL,0,35,7,2,0,477.2453,-1.26,NEUTRAL,C28H37F2N7O6S2,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1.CS(=O)(=O)O.CS(=O)(=O)O,MRDBGMJEPGXQHJ-UHFFFAOYSA-N
CHEMBL1200623,ETHYLESTRENOL,DURABOLIN-O|DURABORAL|ETHYLESTRENOL|ETHYLNANDROL|ETHYLOESTRENOL|Maxibolin|NSC-37726|ORABOLIN,Small molecule,4,288.48,121,467,5.09,20.23,1,1,1,1,N,0.67,None,None,4.69,4.69,0,MOL,0,21,1,1,1,288.2453,2.11,NEUTRAL,C20H32O,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,AOXRBFRFYPMWLR-XGXHKTLJSA-N
CHEMBL1201628,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN SUSP PROTAMINE ZINC BEEF/PORK|Insulin susp protamine zinc beef/pork|PROTAMINE ZINC & ILETIN I (BEEF-PORK),Protein,4,,,,,,,,,,,,,,,,,SEQ,0,,,,,,,,,,
CHEMBL1200923,TECHNETIUM TC 99M DISOFENIN,Hepatolite|TECHNETIUM (99MTC) DISOFENIN|TECHNETIUM TC 99M DISOFENIN|TECHNETIUM TC-99M DISOFENIN|TECHNETIUM TC-99M DISOFENIN KIT|Technetium (99Mtc) Disofenin|Technetium tc-99m disofenin kit,Small molecule,4,449.32,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,447.0905,None,None,C18H26N2O5Tc,,
CHEMBL1200970,ETHOPROPAZINE HYDROCHLORIDE,ETHOPROPAZINE HCL|ETHOPROPAZINE HYDROCHLORIDE|NSC-169467|NSC-64074|PROFENAMINE|PROFENAMINE HIBENZATE|PROFENAMINE HYDROCHLORIDE|PROPHENAMINE HYDROCHLORIDE|Parsidol,Small molecule,4,348.94,25,55,5.02,6.48,3,0,1,5,N,0.77,None,9.6,5,2.82,2,MOL,0,22,2,0,1,312.166,-1.11,BASE,C19H25ClN2S,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21.Cl,VXPCQISYVPFYRK-UHFFFAOYSA-N
CHEMBL1201579,CAPROMAB PENDETIDE,7E11-C5.3|CAPROMAB PENDETIDE|CYT-351|CYT-356|Capromab pendetide|ProstaScint,Antibody,4,,2,19,,,,,,,,,,,,,,SEQ,0,,,,,,,,,,
CHEMBL2106915,METHOPHOLINE,ARC I-K-1|ARC-I-K-1|METHOPHOLINE|METOFOLINE|METOPHOLINE|NIH 7672|NIH-7672|NSC-169889|RO 4-1778/1|VERSIDYNE,Small molecule,4,345.87,1,2,4.52,21.7,3,0,0,5,N,0.79,None,8.32,4.76,3.79,2,MOL,0,24,3,0,0,345.1496,0.3,NEUTRAL,C20H24ClNO2,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,YBCPYHQFUMNOJG-UHFFFAOYSA-N
CHEMBL3186993,HYDROXYZINE HYDROCHLORIDE,Atarax|HYDROXIZINE CHLORIDE|HYDROXYZINE|HYDROXYZINE DIHYDROCHLORIDE|HYDROXYZINE HYDROCHLORIDE|ORGATRAX|UCERAX|Vistaril,Small molecule,4,447.83,15,954,3.06,35.94,4,1,0,8,N,0.72,None,7.45,3.41,3.09,2,MOL,0,26,4,1,0,374.1761,-1.17,NEUTRAL,C21H29Cl3N2O2,Cl.Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,ANOMHKZSQFYSBR-UHFFFAOYSA-N
CHEMBL1201626,CHYMOPAPAIN,BAX 1526|BAX-1526|CHYMOPAPAIN|Chymodiactin|Discase|NSC-107079,Unknown,4,,,,,,,,,,,,,,,,,NONE,0,,,,,,,,,,
CHEMBL1201165,QUINESTROL,Estrovis|NSC-759637|QUINESTROL|W 3566|W-3566,Small molecule,4,364.53,26,64,5.23,29.46,2,1,1,2,N,0.73,None,None,5.4,5.4,1,MOL,0,27,2,1,1,364.2402,1.13,NEUTRAL,C25H32O2,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,PWZUUYSISTUNDW-VAFBSOEGSA-N
CHEMBL1200891,OXYPHENCYCLIMINE HYDROCHLORIDE,Daricon|NSC-528449|OXIPHENCYCLIMINE CHLORIDE|OXYPHENCYCLIMINE HCL|OXYPHENCYCLIMINE HYDROCHLORIDE,Small molecule,4,380.92,12,26,2.73,62.13,5,1,0,5,N,0.83,11.54,9.27,2.62,0.86,1,MOL,0,25,5,1,0,344.21,-0.2,BASE,C20H29ClN2O3,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,WXAYTPABEADAAB-UHFFFAOYSA-N
CHEMBL1200560,GUANABENZ ACETATE,GUANABENZ ACETATE|GUANABENZ MONOACETATE|NSC-757044|WY-8678|WY-8678 ACETATE|Wytensin,Small molecule,4,291.14,17,43,1.81,74.26,2,3,0,2,N,0.41,None,8.18,2.18,1.34,1,MOL,0,14,4,4,0,230.0126,-1.54,NEUTRAL,C10H12Cl2N4O2,CC(=O)O.N=C(N)N/N=C/c1c(Cl)cccc1Cl,MCSPBPXATWBACD-GAYQJXMFSA-N
CHEMBL3991035,SODIUM STIBOGLUCONATE,,Small molecule,4,745.74,,,None,None,None,None,None,None,None,None,None,None,None,None,None,NONE,0,None,None,None,None,743.8235,None,None,C12H17Na3O17Sb2,,
CHEMBL1201275,ISOSULFAN BLUE,,Small molecule,4,544.7,,,4.1,117.82,6,1,1,9,N,0.37,-2.51,5.33,2.05,0.79,2,MOL,0,37,8,1,1,544.1702,-0.68,ACID,C27H32N2O6S2,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)O)cc1,YFKDCGWIINMRQY-UHFFFAOYSA-N
CHEMBL2105527,TETRAZEPAM,CB 4261|CB-4261|MYOLASTAN|TETRAZEPAM,Small molecule,4,288.78,,,3.61,32.67,2,0,0,1,N,0.78,None,3.24,3.14,3.14,1,MOL,0,20,3,0,0,288.1029,-0.25,NEUTRAL,C16H17ClN2O,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,IQWYAQCHYZHJOS-UHFFFAOYSA-N
CHEMBL3304484,MONOCTANOIN,,Small molecule,4,809.13,,,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,808.5912,None,None,C43H84O13,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC.CCCCCCCC(=O)OCC(O)CO.CCCCCCCCCC(=O)OCC(O)CO,JFUMHQVCWWFATH-UHFFFAOYSA-N
CHEMBL4301162,SERDEXMETHYLPHENIDATE,SERDEXMETHYLPHENIDATE,Small molecule,4,500.53,,,1.05,146.35,7,3,1,9,N,0.34,2.56,None,-2.69,-2.92,2,MOL,0,36,11,3,2,500.2027,-0.01,ACID,C25H30N3O8+,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1C(=O)OC[n+]1cccc(C(=O)N[C@@H](CO)C(=O)O)c1,UBZPNQRBUOBBLN-PWRODBHTSA-O
CHEMBL1200933,HEXAFLUORENIUM BROMIDE,HEXAFLUORENIUM BROMIDE|HEXAFLURONE BROMIDE|HEXAFLURONIUM BROMIDE|Mylaxen|NSC-19477,Small molecule,4,662.55,3,6,8.24,0,0,0,2,9,N,0.16,None,None,-0.28,-0.28,4,MOL,0,38,2,0,2,502.3337,0.06,NEUTRAL,C36H42Br2N2,C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21.[Br-].[Br-],WDEFPRUEZRUYNW-UHFFFAOYSA-L
CHEMBL2107703,FENTICONAZOLE NITRATE,FENTICONAZOLE MONONITRATE|FENTICONAZOLE NITRATE|GYNOXIN|LOMEXIN|REC 15/1476,Small molecule,4,518.42,2,4,7.3,27.05,4,0,1,8,N,0.28,None,6.48,6.94,6.9,4,MOL,0,30,3,0,1,454.0673,-1.04,NEUTRAL,C24H21Cl2N3O4S,Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1.O=[N+]([O-])O,FJNRUWDGCVDXLU-UHFFFAOYSA-N
CHEMBL1200691,MAGNESIUM ACETATE,ACETIC ACID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1201051,CIMETIDINE HYDROCHLORIDE,CIMETIDINE HCL|CIMETIDINE HYDROCHLORIDE|Tagamet,Small molecule,4,288.81,,,0.6,88.89,4,3,0,5,N,0.23,13.38,6.91,-0.11,-0.22,1,MOL,0,17,6,3,0,252.1157,-1.18,NEUTRAL,C10H17ClN6S,CN/C(=N\CCSCc1nc[nH]c1C)NC#N.Cl,QJHCNBWLPSXHBL-UHFFFAOYSA-N
CHEMBL1200910,SULFISOXAZOLE ACETYL,ACETYL SULFAFURAZOLE|ACETYL SULFISOXAZOLE|ACETYLSULFAFURAZOLE|ACETYLSULFISOXAZOLE|GANTRISIN PEDIATRIC|Gantrisin|LIPO GANTRISIN|NSC-759138|SULFAFURAZOLE ACETYL|SULFISOXAZOLE ACETYL|SULFISOXIZOLE ACETYL,Small molecule,4,309.35,4,7,1.62,106.5,6,1,0,3,N,0.86,None,1.61,0.72,0.72,2,MOL,0,21,7,2,0,309.0783,-1.31,NEUTRAL,C13H15N3O4S,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,JFNWFXVFBDDWCX-UHFFFAOYSA-N
CHEMBL1200665,DIPHENOXYLATE HYDROCHLORIDE,DIPHENOXYLATE HCL|DIPHENOXYLATE HYDROCHLORIDE|DIPHENOXYLATE HYDROCHLORIDE CII|DIPHENOXYLATI HYDROCHLORIDUM|Diphenoxylate hydrochloride|R-1132 (ANTIPERISTALTIC),Small molecule,4,489.06,13,41,5.48,53.33,4,0,1,8,N,0.42,None,8.5,5.88,4.76,3,MOL,0,34,4,0,1,452.2464,-0.6,NEUTRAL,C30H33ClN2O2,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1.Cl,SHTAFWKOISOCBI-UHFFFAOYSA-N
CHEMBL1200975,CLOCORTOLONE PIVALATE,CLOCORTOLONE 21-PIVALATE|CLOCORTOLONE PIVALATE|Cloderm|SH 863|SH-863,Small molecule,4,495.03,7,15,4.6,80.67,5,1,0,3,N,0.46,13.83,None,4.72,4.72,0,MOL,0,34,5,1,0,494.2235,1.31,NEUTRAL,C27H36ClFO5,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,SXYZQZLHAIHKKY-GSTUPEFVSA-N
CHEMBL1200356,CYCLACILLIN,CALTHOR|CICLACILLIN|CYCLACILLIN|CYCLAPEN-W|Cyclapen|NSC-88789|VASTCILLIN|Vasticillin|WY-4508,Small molecule,4,341.43,76,105,0.28,112.73,5,3,0,3,N,0.64,3.3,8.45,-1.91,-1.95,0,MOL,0,23,7,4,0,341.1409,0.84,ACID,C15H23N3O4S,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,HGBLNBBNRORJKI-WCABBAIRSA-N
CHEMBL3085436,VIOMYCIN,CELIOMYCIN|FLORIMYCIN|TUBERACTINOMYCIN B|VINACETIN A|VIOACTANE|VIOMYCIN,Protein,4,685.7,5,15,-8.88,392.86,15,15,3,10,N,0.09,8.99,22.11,-10.98,-16.45,0,MOL,0,48,23,19,3,685.3256,1.01,BASE,C25H43N13O10,NCCC[C@H](N)CC(=O)N[C@H]1CNC(=O)[C@H]([C@H]2C[C@H](O)NC(N)=N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC1=O,GXFAIFRPOKBQRV-GHXCTMGLSA-N
CHEMBL30219,METHOHEXITAL SODIUM,BRIETAL SOD|Brevimytal|Brevital|Brevital Sodium|Brietal|ENALLYNYMAL SODIUM|METHOHEXITAL SODIUM|METHOHEXITAL SODIUM SALT|Methohexitone|SODIUM METHOHEXITAL,Small molecule,4,284.29,2,7,1.31,66.48,3,1,0,3,N,0.47,7.73,None,2.29,2.12,0,MOL,0,19,5,1,0,262.1317,0.36,NEUTRAL,C14H17N2NaO3,C=CCC1(C(C)C#CCC)C(=O)N=C([O-])N(C)C1=O.[Na+],KDXZREBVGAGZHS-UHFFFAOYSA-M
CHEMBL1013,LORACARBEF,LORACARBEF|LY-163892|Lorabid|Loracarbef hydrate,Small molecule,4,349.77,49,140,0.71,112.73,4,3,0,4,N,0.69,2.93,7.23,-2.4,-2.76,1,MOL,0,24,7,4,0,349.0829,0.23,ACID,C16H16ClN3O4,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,JAPHQRWPEGVNBT-UTUOFQBUSA-N
CHEMBL1201347,ANILERIDINE,ADOPOL|ALIDINE|ANILERIDINE|APIDOL|IDS-NA-012|LERITIN|NIPECOTAN,Small molecule,4,352.48,4,10,3.41,55.56,4,1,0,6,N,0.64,None,8.88,3.64,2.15,2,MOL,0,26,4,2,0,352.2151,-0.66,BASE,C22H28N2O2,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,LKYQLAWMNBFNJT-UHFFFAOYSA-N
